2025-05-01 16:20,Deciphering of intra-tumoural heterogeneity and the interplay between metastasis-associated meta-program and myofibroblasts in gastric cancer.,"Wu X, Jin Z, Li B, Lu Y, Hou J, Yao L, Yu Z, Sang Q, Yu B, Li J, Li C, Yan C, Zhu Z, Tang K, Liu B, Su L.",MED,2025-05-01,,"Gastric cancer (GC) exhibits high heterogeneity that relies on the oncogenic properties of cancer cells and multicellular interactions in the tumour microenvironment. However, the heterogeneity of GC and their molecular characteristics are still largely unexplored.We employed single-cell and spatial transcriptomics to comprehensively map the intra-tumoural heterogeneity within GC. Additionally, in vitro experiments, clinical sample analyses, and patient-derived organoid models (PDOs) were conducted to validate the key interaction patterns between tumor cells and stromal cells.Seven robust meta-programs (MP1-MP7) in GC were defined with distinct biological significance and spatial distributions. MP3 and MP4 were intimately associated with distinct CD8 T cells skewed toward a cytotoxic or exhaustion state, while MP7, characterised by the highest degree of malignancy, harboured an immune lockdown microenvironment around it and spatially associated with myofibroblasts (myCAFs). Notably, we clarified the interplay between the MP7 and myCAFs, where MP7 induces the chemotactic migration of fibroblasts and promoting their transformation into myCAFs via GDF15/TGFBR2, and in turn, myCAFs-derived RSPO3 up-regulates EGR1 to promote the transformation to MP7 in GC cells and human PDOs. Ultimately, the accumulation of myCAFs around MP7 led to fewer infiltration of CD8 T cells, resulting an immune-deprived microenvironment and the diminished efficacy of immunotherapy. Additionally, based on the gene expression signatures of MP7 GC cells, we predicted specific drugs and verified more potent inhibitory effects of Taselisib and Lapatinib for MP7 GC cells than conventional drugs at the same concentration.Taken together, these results deepened the understanding of GC heterogeneity and paved the way for novel therapeutic strategies by targeting MP7 GC cells and their interaction loop with myCAFs in GC treatment.Seven robust meta-programs (MP1-MP7) were identified in gastric cancer. MP7 was strongly correlated with cancer metastasis and poor survival of gastric cancer patients. MP7 promoted fibroblast transformation into myCAFs via GDF15/TGFBR2, creating an immune lockdown microenvironment. MyCAFs induced MP7 transformation via the RSPO3/EGR1 pathway, promoting gastric cancer cell migration. Taselisib and Lapatinib were potent inhibitors of MP7 GC cells.",https://pubmed.ncbi.nlm.nih.gov/40292733/,"bioinformatics, genomics, pan-genomics, pan-transcriptomics"
2025-05-01 16:20,Phylogenomic framework and virulence gene boundaries of emerging Shiga toxin producing Escherichia coli O118 informed by the comprehensive profiling of 359 O118 genomes,"Rivera, I., Konig, S. S. K., Rodriguez, A. L., Bosilevac, J. M., Eppinger, M.",bioRxiv,2025-05-01,,"Non-O157 Shiga toxin-producing Escherichia coli (STEC), particularly the O118 serogroup, are emerging pathogens linked to severe foodborne illnesses, including hemolytic uremic syndrome. The hallmark of STEC virulence is the production of a potent phage-borne cytotoxin, often accompanied by the locus of enterocyte effacement (LEE). This study explores the genomic landscape, virulence factors, and resistance traits of O118 STEC. We analyzed 357 publicly available O118 genomes across ten H-antigens and included two clinically significant O118:H16 STEC strains sequenced to closure. Pangenome assessment and core genome multilocus sequence typing (MLST) based on 4,160 shared genes revealed phylogenetic clustering by H-type and delineated distinct STEC-phylogroups, alongside relationships to non-STEC pathovars such as uropathogenic E. coli (UPEC), enteropathogenic E. coli (EPEC), and enterotoxigenic E. coli (ETEC). Identified STEC phylogroups encompassed H6, H12, H16, and H2 strains with diverse Shiga toxin (stx) profiles (stx1a, stx2a, stx2b, stx2c, stx2f). A subset of H2-STEC lacked stx, suggesting potential secondary phage loss. Most STEC groups harbored the locus of enterocyte effacement (LEE). Further, a strong correlation was observed between H-antigens and eae subtypes, with specific pairings such as H6/eae-{iota}, H16/eae-{beta}, and H2/eae-{varepsilon}. Horizontally acquired pathogenicity islands-including O-island 122 in H16 strains and a novel pathogenicity-associated island carrying antibiotic resistance-along with other loci related to colonization and interbacterial competition, further enhance these strains' virulence potential. Our findings underscore the genetic diversity and virulence potential of O118 STEC. Understanding phylogroup-specific traits and resistance markers is crucial for effective surveillance and public health interventions.",https://www.biorxiv.org/content/10.1101/2025.04.29.651274v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,Small pangenome of Candida parapsilosis reflects overall low intraspecific diversity,"Ryan, A., Bergin, S. A., Scully, J., Zuniga-Soto, E., Hession, C., Barber, A. E., Gomez-Molero, E., Bader, O., Morio, F., Zhai, B., Wolfe, K. H., Butler, G.",bioRxiv,2025-05-01,,"Candida parapsilosis is an opportunistic yeast pathogen that can cause life-threatening infections in immunocompromised humans. Whole genome sequencing (WGS) studies of the species have demonstrated remarkably low diversity, with strains typically differing by about 1.5 single nucleotide polymorphisms (SNPs) per 10 kb. However, SNP calling alone does not capture the full extent of genetic variation. Here, we define the pangenome of 372 C. parapsilosis isolates to determine variation in gene content. The pangenome consists of 5,859 genes, of which 48 are not found in the genome of the reference strain. This includes 5,791 core genes (present in [≥] 99.5% of isolates). Four genes, including the allantoin permease gene DAL4, were present in all isolates but were truncated in some strains. The truncated DAL4 was classified as a pseudogene in the reference strain CDC317. CRISPR-Cas9 gene editing showed that removing the early stop codon (producing the full-length Dal4 protein) is associated with improved use of allantoin as a sole nitrogen source. We find that the accessory genome of C. parapsilosis consists of 68 homologous clusters. This includes 38 previously annotated genes, 27 novel paralogs of previously annotated genes and 3 uncharacterised ORFs. Approximately one-third of the accessory genome (24/68 genes) is associated with gene fusions between tandem genes in the major facilitator superfamily (MFS). Additionally, we identified two highly divergent C. parapsilosis strains and find that, despite their increased phylogenetic distance (~30 SNPs per 10 kb), both strains have similar gene content to the other 372.",https://www.biorxiv.org/content/10.1101/2025.04.30.651475v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,The structure of phycobilisome with a bicylindrical core from the cyanobacterium Synechococcus elongatus PCC 7942,"Zhao, J., Gao, N., Zheng, Z.",bioRxiv,2025-05-01,,"Phycobilisomes (PBSs) are the major light-harvesting complexes in the cyanobacteria and red algae and they consist of a central core and peripheral rods that are attached to the core. The PBS cores contain 2-5 allophycocyanin cylinders that are organized by ApcE. At the present, structures of PBS with tricylindrical and pentacylindrical cores have been determined while the structure of the PBS with a bicylindrical core is yet to be revealed. Here we report the cryo-EM structure of PBS with bicylindrical core from Synechococcus elongatus PCC 7942 (Synechococcus 7942) at 2.98 [A] resolution. Similar to the PBS with a tricylindrical core, six peripheral rods are attached to the core by the rod-core linker protein CpcG in the PBS of Synechococcus 7942 even though the core lacks the top AP cylinder, which is important for the attachment of peripheral rods to the tricylindrical cores. We found that the C-terminus of ApcE in the Synechococcus 7942 was involved in interacting with both CpcG and CpcB of a top peripheral rod, compensating for the absence of the top AP cylinder of the core and maintaining PBS stability. Analysis of the bilin distribution reveals that distance of excitation energy transfer from top peripheral rods to the terminal emitters is approximately 15% shorter compared to the PBS with tricylindrical cores. Although there are 30% fewer bilin chromophores in the Synechococcus 7942 PBS core compared with the tricylindrical core, the aromatic residue ring in the Synechococcus 7942 PBS core is conserved, supporting the suggestion that these aromatic residues from AP and linker proteins are critical to the energy transfer of PBS.",https://www.biorxiv.org/content/10.1101/2025.04.28.650843v1?rss=1,"bioinformatics, genomics, plant biology"
2025-05-01 16:20,"Cultural and Ecological Dimensions of Spice Diversity: Indigenous Knowledge and Practices in Hadiya and Kambata-Tembaro, Central Ethiopia","Osie, M.",bioRxiv,2025-05-01,,"This study presents a comprehensive ethnobotanical investigation into the diversity and cultural significance of spices in the Hadiya and Kambata-Tembaro zones of Central Ethiopia. Through semi-structured interviews, focus group discussions, and participatory observations with local communities, including a strong representation of women were applied. Thirty five spice species, primarily herbaceous, with Lamiaceae emerging as the most dominant family documents. The findings underscore the centrality of homegardens as reservoirs of agrobiodiversity and hubs of traditional knowledge transmission. Spices were found to serve diverse roles culinary, medicinal, and ritual positioning them as biocultural keystone species intricately linked to local health systems, cultural identity, and daily life. Community preference rankings and culinary preparation methods revealed nuanced valuations based not only on taste but also cultural symbolism and perceived health benefits. Moreover, the study highlights gendered and socioeconomic dimensions of spice use and management, revealing persistent inequalities in resource access, decision-making, and benefit-sharing, despite womens key roles in preserving and utilizing these resources. The research emphasizes the need for inclusive, gender-sensitive policies that recognize and protect indigenous ecological knowledge systems. It calls for participatory, community-led conservation strategies and further interdisciplinary studies on sustainable harvesting and the ecological dynamics of spice species across land-use systems. Overall, this study contributes to the growing body of knowledge advocating for the integration of traditional knowledge into national biodiversity and food security agendas, highlighting the importance of empowering local communities, especially women, to ensure the resilience of cultural and biological heritage amid environmental and socioeconomic change.",https://www.biorxiv.org/content/10.1101/2025.04.26.650802v1?rss=1,"bioinformatics, genomics, plant biology"
2025-05-01 16:20,An image analysis pipeline to quantify the spatial distribution of cell markers in stroma-rich tumors,"Ruzette, A. A., Kozlova, N., Cruz, K. A., Muranen, T., Norrelykke, S. F.",bioRxiv,2025-05-01,,"Aggressive cancers, such as pancreatic ductal adenocarcinoma (PDAC), are often characterized by a complex and desmoplastic tumor microenvironment rich in stroma, a supportive connective tissue composed primarily of extracellular matrix (ECM) and non-cancerous cells. Desmoplasia, which is a dense deposition of stroma, is a major reason for therapy resistance, acting both as a physical barrier that interferes with drug penetration and as a supportive niche that protects cancer cells through diverse mechanisms. A precise understanding of spatial cell interactions within the tumor microenvironment in stroma-rich cancers is essential for optimizing therapeutic responses. It allows detailed mapping of stromal-tumor interfaces, comprehensive phenotyping of diverse cell types and their functional states, and insights into changes in cellular distribution and tissue architecture, thus leading to an improved assessment of drug responses. Recent advances in multiplexed immunofluorescence imaging have enabled the acquisition of large batches of whole-slide tumor images, but scalable and reproducible methods to analyze the spatial distribution of cell states relative to stromal regions remain limited. To address this gap, we developed an open-source computational pipeline that integrates QuPath (Bankhead et al. 2017), StarDist (Schmidt et al. 2018), and custom Python scripts to quantify biomarker expression at a single- and sub-cellular resolution across entire tumor sections. Our workflow includes: (i) automated nuclei segmentation using StarDist, (ii) machine learning-based cell classification using multiplexed marker expression, (iii) modeling of stromal regions based on fibronectin staining, (iv) sensitivity analyses on classification thresholds to ensure robustness across heterogeneous datasets, and (v) distance-based quantification of the proximity of each cell to the stromal border. To improve consistency across slides with variable staining intensities, we introduce a statistical strategy that translates classification thresholds by propagating a chosen reference percentile across the distribution of marker-related cell measurement in each image. We apply this approach to quantify spatial patterns of distribution of the phosphorylated form of the N-Myc downregulated gene 1 (NDRG1), a novel DNA repair protein that conveys signals from the ECM to the nucleus to maintain replication fork homeostasis, and a known cell proliferation marker Ki67 in fibronectin-defined stromal regions in PDAC xenografts. The pipeline is applicable for the analysis of various stroma-rich tissues and is publicly available: https://github.com/HMS-IAC/stroma-spatial-analysis-web.",https://www.biorxiv.org/content/10.1101/2025.04.28.650414v1?rss=1,"bioinformatics, synthetic biology"
2025-05-01 16:20,RECUR: Identifying recurrent amino acid substitutions from multiple sequence alignments,"Robbins, E. H., Liu, Y., Kelly, S.",bioRxiv,2025-04-30,,"Identifying recurrent changes in biological sequences is important to multiple aspects of biological research - from understanding the molecular basis of convergent phenotypes, to pinpointing the causative sequence changes that give rise to antibiotic resistance and disease. Here, we present RECUR, a method for identifying recurrent amino acid substitutions from multiple sequence alignments that is fast, easy to use, and scalable to thousands of sequences. We demonstrate the utility and performance characteristics of RECUR on a data set of surface glycoprotein (S) protein sequences from SARS-CoV-2 - identifying widespread recurrent evolution throughout the protein. Structural analysis of the recurrently evolving sites revealed significant enrichment in the exposed receptor-binding S1 subunit and at the interface with the human angiotensin-converting enzyme 2 (hACE2), whereas recurrent substitutions were depleted at the trimeric interface of the S protein. Finally, in silico modelling showed that recurrent substitutions have primarily acted to stabilise the trimeric interface, but had no consistent effect at the hACE2 interface, suggesting that evolution at these sites has been shaped by opposing selection pressures - balancing the need to maintain or enhance hACE2 binding with pressures to diversify and evade host immune responses. A standalone implementation of the algorithm is available under the GPLv3 licence at https://github.com/OrthoFinder/RECUR.",https://www.biorxiv.org/content/10.1101/2025.04.29.651261v1?rss=1,"bioinformatics, synthetic biology"
2025-05-03 14:43,Machine learning based identification of anoikis related gene classification patterns and immunoinfiltration characteristics in diabetic nephropathy.,"Jing Zhang, Lulu Cheng, Shan Jiang, Duosheng Zhu",PubMed,2025-05-01,,"Anoikis and immune cell infiltration are pivotal factors in the pathophysiological mechanism of diabetic nephropathy (DN), yet a comprehensive understanding of the mechanism is lacking. This work aimed to pinpoint distinctive anoikis-related genes (ARGs) in DN and delve into their impact on the immune landscape. Three datasets (GSE30528, GSE47184, and GSE96804) were downloaded from the gene expression omnibus (GEO) dataset. Differentially expressed genes (DEGs) were identified using the ""limma"" package, while ARGs were obtained from GSEA, GeneCard, and Harmonizome datasets. The intersection of DEGs and ARGs was analyzed for Gene Ontology (GO) function and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment. The CIBERSORT algorithm was employed to estimate the infiltration percentage of 22 immune cell types in DN renal tissue. Subsequently, the least absolute shrinkage and selection operator (LASSO), support vector machine recursive feature elimination (SVM-RFE), and random forest (RF) algorithms were adopted to screen key ARGs related to DN. After that, receiver operating characteristic (ROC) analysis was employed to assess the diagnostic accuracy of each gene and the real-time quantitative polymerase chain reaction (RT-qPCR) was adopted to quantitatively detect the expression of biomarkers in DN cell models. Finally, correlations between key genes and immune cell infiltration were analyzed, and a competitive endogenous ribonucleic acid (RNA) (ceRNA) network based on key genes was constructed. A total of 59 DEARGs were identified. GO functional annotation enrichment analysis revealed their involvement in kidney development, extracellular matrix (ECM), cytoplasmic vesicle cavity, immunoinflammatory response, and cytokine effect. KEGG pathway analysis indicated that MAPK, PI3K -Akt, IL -17, TNF, and HIF- 1 signaling pathways are critical for DN. In addition, seven key genes, including PDK4, S100A8, HTRA1, CHI3L1, WT1, CDKN1B, and EGF, were screened by machine learning algorithm. Most of these genes exhibited low expression in renal tissue of DN patients and positive correlation with neutrophils, and their expressions were verified in an external dataset cell model. The ceRNA analysis suggested potential regulatory pathways (H19/miR-15b-5p/PDK4 and KCNQ1T1/miR-1207-3p/WT1) influencing early DN progression. This work provided a comprehensive analysis of the role of DEARGs in DN for the first time, offering valuable insights for further understanding the disease mechanism and guiding clinical diagnosis, treatment, and research of DN.",https://pubmed.ncbi.nlm.nih.gov/40312440/,"machine learning, bioinformatics, genomics"
2025-05-03 14:43,Proteomic signatures and predictive modeling of cadmium-associated anxiety in middle-aged and elderly populations: an environmental exposure association study.,"Sheng Wan, Yong Yang, Qihan Zhao, Zelong Xing, Jie Li, Hao Gao, Yinghui Yin, Zhenzhong Liu, Qiwen Chen, Maoqin Tian, Xinxin Shi, Ziyue Ji, Shaoxin Huang",PubMed,2025-05-01,,"Emerging evidence implicates environmental contaminants such as cadmium (Cd) as modifiable risk factors for anxiety. Despite growing recognition of heavy metal toxicity in neuropsychiatric disorders, the molecular mechanisms linking environmental exposure to anxiety pathogenesis remain poorly understood.",https://pubmed.ncbi.nlm.nih.gov/40312359/,"machine learning, bioinformatics, genomics"
2025-05-03 14:43,Ge-SAND: an explainable deep learning-driven framework for disease risk prediction by uncovering complex genetic interactions in parallel.,"Lihang Ye, Liubin Zhang, Bin Tang, Junhao Liang, Ruijie Tan, Hui Jiang, Wenjie Peng, Nan Lin, Kun Li, Chao Xue, Miaoxin Li",PubMed,2025-05-01,,"Accurate genetic risk prediction and understanding the mechanisms underlying complex diseases are essential for effective intervention and precision medicine. However, current methods often struggle to capture the intricate and subtle genetic interactions contributing to disease risk. This challenge may be further exacerbated by the curse of dimensionality when considering large-scale pairwise genetic combinations with limited samples. Overcoming these limitations could transform biomedicine by providing deeper insights into disease mechanisms, moving beyond black-box models and single-locus analyses, and enabling a more comprehensive understanding of cross-disease patterns.",https://pubmed.ncbi.nlm.nih.gov/40312319/,"machine learning, bioinformatics, genomics"
2025-05-03 14:43,Foodomics approaches: New insights in phenolic compounds analysis.,"Saioa Gómez-Rocal, Álvaro Cruz-Carrión, Diego Morales, Almudena García-Ruiz, Manuel Suárez, Anna Arola-Arnal",PubMed,2025-03-13,,"Fruits, vegetables, and plant-based foods contain several bioactive substances such as phenolic compounds (PCs), that are plant secondary metabolites with attributed health properties. The study of the metabolic pathways of PCs, including those related with their synthesis, transport, accumulation, and degradation are essential to advance in this field of research. In this regard, omics tools such as foodomics are gaining relevance due to their versatility and their tremendous potential to generate significant advances in PC research. In this review, we present a comprehensive overview of the applications of omics technologies in PC analysis, including transcriptomics, micromics, proteomics and metabolomics, highlighting their role in metabolic pathways, current limitations, and emerging insights. Omics techniques as well as data analyses are continuously progressing, emerging new opportunities with onset of artificial intelligence and machine learning. However, significant limitations and challenges still remain. The immense diversity of PC chemical structures and their variability across plant species, varieties, and impact of agronomic factors complicate the analyses and limit the extrapolation of findings. Additionally, high data dimensionality, strong correlations among measured variables, and general lack of standardization in the different omics techniques can impact in the results. Addressing these limitations requires integrating multi-omics approaches and developing standardized protocols to enhance comparability and interpretation in PC research. In summary, foodomics approaches arise as essential for the complete mapping of PC biosynthesis.",https://pubmed.ncbi.nlm.nih.gov/40263832/,"machine learning, bioinformatics, genomics"
2025-05-03 14:43,XenoBug: machine learning-based tool to predict pollutant-degrading enzymes from environmental metagenomes.,"Malwe AS, Longwani U, Sharma VK.",MED,2025-05-01,,"Application of machine learning-based methods to identify novel bacterial enzymes capable of degrading a wide range of xenobiotics offers enormous potential for bioremediation of toxic and carcinogenic recalcitrant xenobiotics such as pesticides, plastics, petroleum, and pharmacological products that adversely impact ecology and health. Using 6814 diverse substrates involved in ∼141 200 biochemical reactions, we have developed 'XenoBug', a machine learning-based tool that predicts bacterial enzymes, enzymatic reaction, the species capable of biodegrading xenobiotics, and the metagenomic source of the predicted enzymes. For training, a hybrid feature set was used that comprises 1603 molecular descriptors and linear and circular fingerprints. It also includes enzyme datasets consisting of ∼3.3 million enzyme sequences derived from an environmental metagenome database and ∼16 million enzymes from ∼38 000 bacterial genomes. For different reaction classes, XenoBug shows very high binary accuracies (>0.75) and F1 scores (>0.62). XenoBug is also validated on a set of diverse classes of xenobiotics such as pesticides, environmental pollutants, pharmacological products, and hydrocarbons known to be degraded by the bacterial enzymes. XenoBug predicted known as well as previously unreported metabolic enzymes for the degradation of molecules in the validation set, thus showing its broad utility to predict the metabolism of any input xenobiotic molecules. XenoBug is available on: https://metabiosys.iiserb.ac.in/xenobug.",https://pubmed.ncbi.nlm.nih.gov/40314024/,"machine learning, bioinformatics, genomics"
2025-05-03 14:43,Artificial intelligence-driven microsatellite instability profiling reveals distinctive genetic features in patients with lung cancer.,"Thomas QD, Vendrell JA, Khellaf L, Cavaillon S, Quantin X, Solassol J, Cabello-Aguilar S.",MED,2025-05-01,,"Microsatellite instability (MSI) has emerged as a predictive biomarker for immunotherapy response in various cancers, but its role in non-small cell lung cancer (NSCLC) is not fully understood.The authors used the bioinformatics tool MIAmS to assess microsatellite status from next-generation sequencing (NGS) data using a tailored microsatellite score. Immunohistochemistry (IHC) assays were also performed to evaluate the correspondence between MSI and deficient mismatch repair (dMMR) status. A retrospective analysis of 1547 lung cancer patients was conducted, focusing on those with an MSI phenotype. Clinical characteristics, co-occurring molecular alterations, tumor mutation burden (TMB), and homologous recombination deficiency (HRD) status were evaluated in this subset.Of the 1547 patients analyzed, eight (0.52%) were identified as having MSI through MIAmS, with six (0.39%) of these cases also being dMMR on IHC. All patients with dMMR had an MS score ≥2 and a history of smoking. Most patients showed loss of MLH1 and PMS2 staining on IHC. No correlation was found between MSI status and programmed death-ligand 1 expression, although all MSI patients exhibited high TMB, averaging 21.4 ± 5.6 mutations per megabase.MSI/dMMR in lung cancer is exceedingly rare, affecting less than 1% of cases. NGS-based analysis combined with bioinformatics tools provides a robust method to identify MSI/dMMR patients, potentially guiding immunotherapy decisions. This comprehensive approach integrates molecular genotyping and MSI detection, offering personalized treatment options for lung cancer patients. NGS-based MSI testing is emerging as the preferred method for detecting microsatellite instability in various tumor types, including rare cancers.",https://pubmed.ncbi.nlm.nih.gov/40297960/,"machine learning, bioinformatics, genomics"
2025-05-03 14:43,A telomere to telomere phased genome assembly and annotation for the Australian central bearded dragon Pogona vitticeps,"Patel, H. R., Alreja, K., Reis, A. M., Chang, J. K., Chew, Z. A., Jung, H., Hammond, J. M., Deveson, I. W., Ruiz-Herrera, A., Marin-Gual, L., Holleley, C. E., Zhang, X., Lister, N. C., Whiteley, S. L., Xiong, L., Dissanayake, D. S. B., Waters, P. D., Georges, A.",bioRxiv,2025-05-02,,"Background: The central bearded dragon (Pogona vitticeps) is widely distributed in central eastern Australia and adapts readily to captivity. Among other attributes, it is distinctive because it undergoes sex reversal from ZZ genotypic males to phenotypic females at high incubation temperatures. Here, we report an annotated telomere to telomere phased assembly of the genome of a female ZW central bearded dragon. Results: Genome assembly length is 1.75 Gbp with a scaffold N50 of 266.2 Mbp, N90 of 28.1 Mbp, 26 gaps and 42.2% GC content. Most (99.6%) of the reference assembly is scaffolded into 6 macrochromosomes and 10 microchromosomes, including the Z and W microchromosomes, corresponding to the karyotype. The genome assembly exceeds standard recommended by the Earth Biogenome Project (6CQ40): 0.003% collapsed sequence, 0.03% false expansions, 99.8% k-mer completeness, 97.9% complete single copy BUSCO genes and an average of 93.5% of transcriptome data mappable back to the genome assembly. The mitochondrial genome (16,731 bp) and the model rDNA repeat unit (length 9.5 Kbp) were assembled. Male vertebrate sex genes Amh and Amhr2 were discovered as copies in the small non-recombining region of the Z chromosome, absent from the W chromosome. This, coupled with the prior discovery of differential Z and W transcriptional isoform composition arising from pseudoautosomal sex gene Nr5a1, suggests that complex interactions between these genes, their autosomal copies and their resultant transcription factors and intermediaries, determines sex in the bearded dragon. Conclusion: This high-quality assembly will serve as a resource to enable and accelerate research into the unusual reproductive attributes of this species and for comparative studies across the Agamidae and reptiles more generally.",https://www.biorxiv.org/content/10.1101/2025.05.01.651798v1?rss=1,"bioinformatics, genomics"
2025-05-03 14:43,PhysDock: A Physics-Guided All-Atom Diffusion Model for Protein-Ligand Complex Prediction,"Zhang, K., Ma, Y., Yu, J., Luo, H., Lin, J., Qin, Y., Li, X., Jiang, Q., Bai, F., Dou, J., Zheng, J., Yu, J., Sun, L.",bioRxiv,2025-05-02,,"Accurate prediction of protein-ligand complexes remains a central challenge in structural biology. Traditional methods are computationally inefficient and prone to local minima, whereas deep learning approaches struggle to capture molecular flexibility and physical plausibility. We introduce PhysDock, a physics-guided diffusion model that uniquely integrates (i) all-atom diffusion to model ligand flexibility and protein precision-flexibility; (ii) physical priors as diffusion conditioning, alongside two-phase physics guidance during the denoising diffusion to ensure physical plausibility. PhysDock demonstrates state-of-the-art performance in redocking benchmarks and excels in the more challenging cross-docking assessments involving protein structures resolved with different ligands. For practical utility, PhysDock (i) resolves cannabinoid receptor selectivity across diverse molecules, achieving accuracy comparable to experiments; (ii) effectively distinguishes most drug candidates from weak binders in virtual screening of NTRK3 kinase, while also uncovering novel candidate molecules with structural insights. These results highlight PhysDock as a versatile tool for protein-ligand complex prediction, with substantial potential to accelerate structure-based drug discovery.",https://www.biorxiv.org/content/10.1101/2025.04.28.650887v1?rss=1,"bioinformatics, genomics"
2025-05-03 14:43,"Chromatix: a differentiable, GPU-accelerated wave-optics library","Deb, D., Both, G.-J., Bezzam, E., Kohli, A., Yang, S., Chaware, A., Allier, C., Cai, C., Anderberg, G., Eybposh, M. H., Schneider, M. C., Heintzmann, R., Rivera-Sanchez, F. A., Simmerer, C., Meng, G., Tormes-Vaquerano, J., Han, S., Shanmugavel, S. C., Maruvada, T., Yang, X., Kim, Y., Diederich, B., Joo, C., Waller, L., Durr, N. J., Pegard, N. C., La Riviere, P. J., Horstmeyer, R., Chowdhury, S., Turaga, S. C.",bioRxiv,2025-05-02,,"Modern microscopy methods incorporate computational modeling of optical systems as an integral part of the imaging process, either to solve inverse problems or enable optimization of the optical system design. These methods often depend on differentiable simulations of optical systems, yet no standardized framework exists - forcing computational optics researchers to repeatedly and independently implement simulations that are prone to errors, difficult to reuse in other applications, and often computationally suboptimal. These common problems limit the potential impact of computational optics as a field. We present Chromatix: an open-source, GPU-accelerated differentiable wave optics library. Chromatix builds on JAX to enable fast simulation of diverse optical systems and inverse problem solving, scaling these simulations from single-CPU laptops to multi-GPU servers. The library implements various optical elements (e.g., lenses, polarizers and spatial light modulators) and multiple light propagation models (e.g., Fresnel approximation, angular spectrum and off-axis propagation) that can be flexibly combined to model various computational optics applications such as snapshot microscopy, holography, and phase retrieval of multiple scattering samples. These simulations can be automatically parallelized to scale across multiple GPUs with a single-line change to the modeling code, enabling simulation and optimization of previously impractical optical system designs. We demonstrate Chromatix's capacity to substantially accelerate optics simulation and optimization on existing methods in computational optics, speeding up optical simulation and optimization from 2-6x on a single GPU to up to 22x on 8 GPUs (depending on the particular system being modeled) compared to the original implementations. Chromatix establishes a standard for wave optics simulations, democratizing access to and expanding the design space of computational optics.",https://www.biorxiv.org/content/10.1101/2025.04.29.651152v1?rss=1,"bioinformatics, genomics"
2025-05-03 14:43,A Case-Based Explainable Graph Neural Network Framework for Mechanistic Drug Repositioning,"Cavazos, A. C. G., Tu, R., Sinha, M., Su, A. I.",bioRxiv,2025-05-02,,"Drug repositioning offers a cost-effective alternative to traditional drug development by identifying new uses for existing drugs. Recent advances leverage Graph Neural Networks (GNN) to model complex biological data, showing promise in predicting novel drug-disease associations. However, these frameworks often lack explainability, a critical factor for validating predictions and understanding drug mechanisms. Here, we introduce Drug-Based Reasoning Explainer (DBR-X), an explainable GNN model that combines a link prediction module and a path-identification module to generate interpretable and faithful explanations. When benchmarked against other GNN link prediction frameworks, DBR-X achieves superior performance in identifying known drug-disease associations, demonstrating higher accuracy across all evaluation metrics. The quality of DBR-X biological explanations was assessed through multiple approaches: comparison with manually-curated drug mechanisms, evaluation of explanation faithfulness through deletion and insertion studies, and measurement of stability under graph perturbations. Together, our model not only advances the state-of-the-art in drug repositioning predictions but also provides multi-hop explanations that can accelerate the translation of computational predictions into clinical applications.",https://www.biorxiv.org/content/10.1101/2025.04.28.651120v1?rss=1,"bioinformatics, genomics"
2025-05-03 14:43,Explainable deep learning for identifying cancer driver genes based on the Cancer Dependency Map,"Yin, Q., Chen, L.",bioRxiv,2025-05-02,,"Detecting cancer driver genes and mutations is critical but challenging in cancer biology, essential for understanding tumor progression and developing targeted therapies. In this study, we leveraged the Cancer Dependency Map (DepMap) to identify potential cancer driver genes and infer multi-driver mutations within tumor samples. We developed xNNDriver, a biologically informed, supervised deep learning model that links the mutation status of a candidate cancer driver gene to genome-wide dependency scores. The model's fitness provides a quantifiable measure of a gene's likelihood to act as a cancer driver. Our model successfully recovers well-established drivers, including NRAS, KRAS, HRAS, and BRAF, and identifies novel candidates such as VDR. The model's interpretability further illuminates downstream pathways regulated by driver genes. To complement the gene-by-gene analysis, we built xAEDriver, an unsupervised explainable autoencoder that infers multiple driver variant representations (DVRs) simultaneously. These DVRs capture the mutation patterns across multiple potential driver variants in tumor samples. Notably, DVR-based stratification of cell lines uncovers distinct drug response profiles, further demonstrating the model's translational potential. Overall, our framework offers a robust and interpretable approach to cancer driver gene discovery and mutation pattern analysis, offering new insights into cancer biology.",https://www.biorxiv.org/content/10.1101/2025.04.28.651122v1?rss=1,"bioinformatics, genomics"
